date,appliance,kwh
2026-02-19 15:00:00.716063,AC,2.61
2026-02-19 15:00:00.716063,Fan,6.48
2026-02-19 15:00:00.716063,TV,5.24
2026-02-19 15:00:00.716063,Fridge,2.72
2026-02-19 15:00:00.716063,Router,0.79
2026-02-20 15:00:00.716063,AC,1.44
2026-02-20 15:00:00.716063,Fan,4.82
2026-02-20 15:00:00.716063,TV,8.72
2026-02-20 15:00:00.716063,Fridge,3.79
2026-02-20 15:00:00.716063,Router,3.99
2026-02-21 15:00:00.716063,AC,3.12
2026-02-21 15:00:00.716063,Fan,5.05
2026-02-21 15:00:00.716063,TV,7.0
2026-02-21 15:00:00.716063,Fridge,7.56
2026-02-21 15:00:00.716063,Router,7.05
2026-02-22 15:00:00.716063,AC,2.46
2026-02-22 15:00:00.716063,Fan,5.9
2026-02-22 15:00:00.716063,TV,1.4
2026-02-22 15:00:00.716063,Fridge,4.6
2026-02-22 15:00:00.716063,Router,4.9
2026-02-23 15:00:00.716063,AC,6.37
2026-02-23 15:00:00.716063,Fan,2.92
2026-02-23 15:00:00.716063,TV,1.03
2026-02-23 15:00:00.716063,Fridge,1.39
2026-02-23 15:00:00.716063,Router,4.66
2026-02-24 15:00:00.716063,AC,7.65
2026-02-24 15:00:00.716063,Fan,6.81
2026-02-24 15:00:00.716063,TV,1.63
2026-02-24 15:00:00.716063,Fridge,7.17
2026-02-24 15:00:00.716063,Router,2.1
2026-02-25 15:00:00.716063,AC,1.93
2026-02-25 15:00:00.716063,Fan,2.54
2026-02-25 15:00:00.716063,TV,2.09
2026-02-25 15:00:00.716063,Fridge,6.45
2026-02-25 15:00:00.716063,Router,1.16
2026-02-26 15:00:00.716063,AC,7.68
2026-02-26 15:00:00.716063,Fan,4.56
2026-02-26 15:00:00.716063,TV,4.94
2026-02-26 15:00:00.716063,Fridge,4.45
2026-02-26 15:00:00.716063,Router,5.23
2026-02-27 15:00:00.716063,AC,6.07
2026-02-27 15:00:00.716063,Fan,4.66
2026-02-27 15:00:00.716063,TV,5.8
2026-02-27 15:00:00.716063,Fridge,1.12
2026-02-27 15:00:00.716063,Router,5.49
2026-02-28 15:00:00.716063,AC,0.91
2026-02-28 15:00:00.716063,Fan,4.84
2026-02-28 15:00:00.716063,TV,3.28
2026-02-28 15:00:00.716063,Fridge,0.82
2026-02-28 15:00:00.716063,Router,7.66
2026-03-01 15:00:00.716063,AC,3.45
2026-03-01 15:00:00.716063,Fan,2.96
2026-03-01 15:00:00.716063,TV,4.5
2026-03-01 15:00:00.716063,Fridge,6.56
2026-03-01 15:00:00.716063,Router,3.0
2026-03-02 15:00:00.716063,AC,7.99
2026-03-02 15:00:00.716063,Fan,4.54
2026-03-02 15:00:00.716063,TV,1.7
2026-03-02 15:00:00.716063,Fridge,6.13
2026-03-02 15:00:00.716063,Router,5.9
2026-03-03 15:00:00.716063,AC,0.97
2026-03-03 15:00:00.716063,Fan,3.12
2026-03-03 15:00:00.716063,TV,2.41
2026-03-03 15:00:00.716063,Fridge,7.22
2026-03-03 15:00:00.716063,Router,8.94
2026-03-04 15:00:00.716063,AC,7.89
2026-03-04 15:00:00.716063,Fan,3.67
2026-03-04 15:00:00.716063,TV,4.35
2026-03-04 15:00:00.716063,Fridge,8.31
2026-03-04 15:00:00.716063,Router,6.14
2026-03-05 15:00:00.716063,AC,6.98
2026-03-05 15:00:00.716063,Fan,3.0
2026-03-05 15:00:00.716063,TV,8.39
2026-03-05 15:00:00.716063,Fridge,3.12
2026-03-05 15:00:00.716063,Router,2.89
2026-03-06 15:00:00.716063,AC,4.13
2026-03-06 15:00:00.716063,Fan,1.92
2026-03-06 15:00:00.716063,TV,4.09
2026-03-06 15:00:00.716063,Fridge,1.33
2026-03-06 15:00:00.716063,Router,6.77
2026-03-07 15:00:00.716063,AC,1.21
2026-03-07 15:00:00.716063,Fan,7.75
2026-03-07 15:00:00.716063,TV,4.41
2026-03-07 15:00:00.716063,Fridge,4.18
2026-03-07 15:00:00.716063,Router,6.47
2026-03-08 15:00:00.716063,AC,3.06
2026-03-08 15:00:00.716063,Fan,4.0
2026-03-08 15:00:00.716063,TV,6.15
2026-03-08 15:00:00.716063,Fridge,7.49
2026-03-08 15:00:00.716063,Router,7.25
2026-03-09 15:00:00.716063,AC,0.99
2026-03-09 15:00:00.716063,Fan,1.67
2026-03-09 15:00:00.716063,TV,2.91
2026-03-09 15:00:00.716063,Fridge,2.54
2026-03-09 15:00:00.716063,Router,2.68
2026-03-10 15:00:00.716063,AC,6.52
2026-03-10 15:00:00.716063,Fan,4.3
2026-03-10 15:00:00.716063,TV,3.1
2026-03-10 15:00:00.716063,Fridge,6.73
2026-03-10 15:00:00.716063,Router,4.56
2026-03-11 15:00:00.716063,AC,6.13
2026-03-11 15:00:00.716063,Fan,8.01
2026-03-11 15:00:00.716063,TV,1.88
2026-03-11 15:00:00.716063,Fridge,7.38
2026-03-11 15:00:00.716063,Router,5.69
2026-03-12 15:00:00.716063,AC,0.97
2026-03-12 15:00:00.716063,Fan,3.11
2026-03-12 15:00:00.716063,TV,3.04
2026-03-12 15:00:00.716063,Fridge,1.7
2026-03-12 15:00:00.716063,Router,5.06
2026-03-13 15:00:00.716063,AC,2.2
2026-03-13 15:00:00.716063,Fan,4.73
2026-03-13 15:00:00.716063,TV,4.6
2026-03-13 15:00:00.716063,Fridge,3.36
2026-03-13 15:00:00.716063,Router,5.13
2026-03-14 15:00:00.716063,AC,8.67
2026-03-14 15:00:00.716063,Fan,2.97
2026-03-14 15:00:00.716063,TV,7.75
2026-03-14 15:00:00.716063,Fridge,3.98
2026-03-14 15:00:00.716063,Router,4.92
2026-03-15 15:00:00.716063,AC,1.23
2026-03-15 15:00:00.716063,Fan,3.27
2026-03-15 15:00:00.716063,TV,1.57
2026-03-15 15:00:00.716063,Fridge,5.42
2026-03-15 15:00:00.716063,Router,7.02
2026-03-16 15:00:00.716063,AC,3.47
2026-03-16 15:00:00.716063,Fan,2.4
2026-03-16 15:00:00.716063,TV,6.19
2026-03-16 15:00:00.716063,Fridge,7.62
