date,appliance,kwh
2025-12-21 15:00:00.545203,AC,2.9
2025-12-21 15:00:00.545203,Fan,5.32
2025-12-21 15:00:00.545203,TV,4.61
2025-12-21 15:00:00.545203,Fridge,2.09
2025-12-21 15:00:00.545203,Router,2.44
2025-12-22 15:00:00.545203,AC,2.5
2025-12-22 15:00:00.545203,Fan,4.08
2025-12-22 15:00:00.545203,TV,4.45
2025-12-22 15:00:00.545203,Fridge,3.81
2025-12-22 15:00:00.545203,Router,4.77
2025-12-23 15:00:00.545203,AC,2.88
2025-12-23 15:00:00.545203,Fan,2.26
2025-12-23 15:00:00.545203,TV,1.17
2025-12-23 15:00:00.545203,Fridge,1.7
2025-12-23 15:00:00.545203,Router,4.44
2025-12-24 15:00:00.545203,AC,2.86
2025-12-24 15:00:00.545203,Fan,1.68
2025-12-24 15:00:00.545203,TV,5.14
2025-12-24 15:00:00.545203,Fridge,2.57
2025-12-24 15:00:00.545203,Router,2.21
2025-12-25 15:00:00.545203,AC,4.63
2025-12-25 15:00:00.545203,Fan,2.56
2025-12-25 15:00:00.545203,TV,4.76
2025-12-25 15:00:00.545203,Fridge,4.47
2025-12-25 15:00:00.545203,Router,4.9
2025-12-26 15:00:00.545203,AC,5.67
2025-12-26 15:00:00.545203,Fan,1.04
2025-12-26 15:00:00.545203,TV,3.75
2025-12-26 15:00:00.545203,Fridge,2.08
2025-12-26 15:00:00.545203,Router,5.69
2025-12-27 15:00:00.545203,AC,1.08
2025-12-27 15:00:00.545203,Fan,1.97
2025-12-27 15:00:00.545203,TV,3.2
2025-12-27 15:00:00.545203,Fridge,2.77
2025-12-27 15:00:00.545203,Router,1.98
2025-12-28 15:00:00.545203,AC,0.58
2025-12-28 15:00:00.545203,Fan,1.34
2025-12-28 15:00:00.545203,TV,1.15
2025-12-28 15:00:00.545203,Fridge,2.24
2025-12-28 15:00:00.545203,Router,4.41
2025-12-29 15:00:00.545203,AC,1.1
2025-12-29 15:00:00.545203,Fan,1.51
