date,total_kwh
2025-12-21 15:00:00.734659,52.12
2025-12-22 15:00:00.734659,53.97
2025-12-23 15:00:00.734659,47.94
2025-12-24 15:00:00.734659,48.38
2025-12-25 15:00:00.734659,44.89
2025-12-26 15:00:00.734659,54.4
2025-12-27 15:00:00.734659,39.64
2025-12-28 15:00:00.734659,55.39
2025-12-29 15:00:00.734659,57.46
2025-12-30 15:00:00.734659,42.47
2025-12-31 15:00:00.734659,57.05
2026-01-01 15:00:00.734659,35.43
2026-01-02 15:00:00.734659,54.23
2026-01-03 15:00:00.734659,50.39
2026-01-04 15:00:00.734659,44.14
2026-01-05 15:00:00.734659,44.3
2026-01-06 15:00:00.734659,31.38
2026-01-07 15:00:00.734659,30.28
2026-01-08 15:00:00.734659,39.15
2026-01-09 15:00:00.734659,40.77
2026-01-10 15:00:00.734659,59.16
2026-01-11 15:00:00.734659,34.42
2026-01-12 15:00:00.734659,48.51
2026-01-13 15:00:00.734659,38.79
2026-01-14 15:00:00.734659,51.13
2026-01-15 15:00:00.734659,41.62
2026-01-16 15:00:00.734659,51.98
2026-01-17 15:00:00.734659,54.09
2026-01-18 15:00:00.734659,45.67
2026-01-19 15:00:00.734659,38.07
2026-01-20 15:00:00.734659,44.41
2026-01-21 15:00:00.734659,50.78
2026-01-22 15:00:00.734659,43.26
2026-01-23 15:00:00.734659,36.56
2026-01-24 15:00:00.734659,54.56
2026-01-25 15:00:00.734659,42.51
2026-01-26 15:00:00.734659,51.85
2026-01-27 15:00:00.734659,38.11
2026-01-28 15:00:00.734659,33.24
2026-01-29 15:00:00.734659,38.02
2026-01-30 15:00:00.734659,51.31
2026-01-31 15:00:00.734659,33.02
2026-02-01 15:00:00.734659,41.11
2026-02-02 15:00:00.734659,40.97
2026-02-03 15:00:00.734659,54.71
2026-02-04 15:00:00.734659,38.97
2026-02-05 15:00:00.734659,51.6
2026-02-06 15:00:00.734659,54.28
2026-02-07 15:00:00.734659,42.73
2026-02-08 15:00:00.734659,53.89
2026-02-09 15:00:00.734659,34.07
2026-02-10 15:00:00.734659,33.38
2026-02-11 15:00:00.734659,43.73
2026-02-12 15:00:00.734659,50.49
2026-02-13 15:00:00.734659,58.79
2026-02-14 15:00:00.734659,30.91
2026-02-15 15:00:00.734659,46.03
2026-02-16 15:00:00.734659,33.12
2026-02-17 15:00:00.734659,51.99
2026-02-18 15:00:00.734659,53.52
2026-02-19 15:00:00.734659,35.37
2026-02-20 15:00:00.734659,50.54
2026-02-21 15:00:00.734659,37.63
2026-02-22 15:00:00.734659,37.75
2026-02-23 15:00:00.734659,52.38
2026-02-24 15:00:00.734659,36.76
2026-02-25 15:00:00.734659,35.21
2026-02-26 15:00:00.734659,45.66
2026-02-27 15:00:00.734659,50.08
2026-02-28 15:00:00.734659,52.48
2026-03-01 15:00:00.734659,30.34
2026-03-02 15:00:00.734659,55.9
2026-03-03 15:00:00.734659,42.62
2026-03-04 15:00:00.734659,32.78
2026-03-05 15:00:00.734659,52.64
2026-03-06 15:00:00.734659,56.89
2026-03-07 15:00:00.734659,43.07
2026-03-08 15:00:00.734659,40.2
2026-03-09 15:00:00.734659,56.14
2026-03-10 15:00:00.734659,32.79
2026-03-11 15:00:00.734659,58.88
2026-03-12 15:00:00.734659,33.09
2026-03-13 15:00:00.734659,58.85
2026-03-14 15:00:00.734659,34.36
2026-03-15 15:00:00.734659,58.77
2026-03-16 15:00:00.734659,53.69
2026-03-17 15:00:00.734659,36.2
2026-03-18 15:00:00.734659,54.95
2026-03-19 15:00:00.734659,44.35
2026-03-20 15:00:00.734659,54.38
