date,appliance,kwh
2025-12-21 15:00:00.734659,AC,1.96
2025-12-21 15:00:00.734659,Fan,7.99
2025-12-21 15:00:00.734659,TV,7.99
2025-12-21 15:00:00.734659,Fridge,8.36
2025-12-21 15:00:00.734659,Router,0.76
2025-12-22 15:00:00.734659,AC,7.76
2025-12-22 15:00:00.734659,Fan,6.24
2025-12-22 15:00:00.734659,TV,2.18
2025-12-22 15:00:00.734659,Fridge,2.92
2025-12-22 15:00:00.734659,Router,1.04
2025-12-23 15:00:00.734659,AC,7.08
2025-12-23 15:00:00.734659,Fan,8.72
2025-12-23 15:00:00.734659,TV,8.51
2025-12-23 15:00:00.734659,Fridge,3.22
2025-12-23 15:00:00.734659,Router,1.09
2025-12-24 15:00:00.734659,AC,8.97
2025-12-24 15:00:00.734659,Fan,4.59
2025-12-24 15:00:00.734659,TV,9.0
2025-12-24 15:00:00.734659,Fridge,3.41
2025-12-24 15:00:00.734659,Router,4.21
2025-12-25 15:00:00.734659,AC,3.68
2025-12-25 15:00:00.734659,Fan,4.17
2025-12-25 15:00:00.734659,TV,1.05
2025-12-25 15:00:00.734659,Fridge,6.59
2025-12-25 15:00:00.734659,Router,5.78
2025-12-26 15:00:00.734659,AC,6.65
2025-12-26 15:00:00.734659,Fan,1.11
2025-12-26 15:00:00.734659,TV,7.62
2025-12-26 15:00:00.734659,Fridge,3.12
2025-12-26 15:00:00.734659,Router,1.6
2025-12-27 15:00:00.734659,AC,8.65
2025-12-27 15:00:00.734659,Fan,5.43
2025-12-27 15:00:00.734659,TV,6.65
2025-12-27 15:00:00.734659,Fridge,1.12
2025-12-27 15:00:00.734659,Router,8.4
2025-12-28 15:00:00.734659,AC,4.08
2025-12-28 15:00:00.734659,Fan,7.21
2025-12-28 15:00:00.734659,TV,8.79
2025-12-28 15:00:00.734659,Fridge,1.08
2025-12-28 15:00:00.734659,Router,7.24
2025-12-29 15:00:00.734659,AC,1.25
2025-12-29 15:00:00.734659,Fan,7.08
2025-12-29 15:00:00.734659,TV,3.8
2025-12-29 15:00:00.734659,Fridge,7.98
2025-12-29 15:00:00.734659,Router,2.39
2025-12-30 15:00:00.734659,AC,5.14
2025-12-30 15:00:00.734659,Fan,3.24
2025-12-30 15:00:00.734659,TV,4.78
2025-12-30 15:00:00.734659,Fridge,5.84
2025-12-30 15:00:00.734659,Router,1.79
2025-12-31 15:00:00.734659,AC,4.27
2025-12-31 15:00:00.734659,Fan,4.35
2025-12-31 15:00:00.734659,TV,1.57
2025-12-31 15:00:00.734659,Fridge,5.42
2025-12-31 15:00:00.734659,Router,4.83
2026-01-01 15:00:00.734659,AC,7.74
2026-01-01 15:00:00.734659,Fan,1.98
