date,appliance,kwh
2025-03-21 15:00:00.934530,AC,0.64
2025-03-21 15:00:00.934530,Fan,0.38
2025-03-21 15:00:00.934530,TV,1.99
2025-03-21 15:00:00.934530,Fridge,0.69
2025-03-21 15:00:00.934530,Router,0.75
2025-03-22 15:00:00.934530,AC,1.7
2025-03-22 15:00:00.934530,Fan,0.89
2025-03-22 15:00:00.934530,TV,0.68
2025-03-22 15:00:00.934530,Fridge,1.62
2025-03-22 15:00:00.934530,Router,1.14
2025-03-23 15:00:00.934530,AC,1.04
2025-03-23 15:00:00.934530,Fan,1.54
2025-03-23 15:00:00.934530,TV,1.73
2025-03-23 15:00:00.934530,Fridge,1.65
2025-03-23 15:00:00.934530,Router,0.87
2025-03-24 15:00:00.934530,AC,1.57
2025-03-24 15:00:00.934530,Fan,0.94
2025-03-24 15:00:00.934530,TV,2.8
2025-03-24 15:00:00.934530,Fridge,1.03
2025-03-24 15:00:00.934530,Router,1.76
2025-03-25 15:00:00.934530,AC,2.98
2025-03-25 15:00:00.934530,Fan,2.78
2025-03-25 15:00:00.934530,TV,1.89
2025-03-25 15:00:00.934530,Fridge,1.68
2025-03-25 15:00:00.934530,Router,1.62
2025-03-26 15:00:00.934530,AC,3.22
2025-03-26 15:00:00.934530,Fan,3.45
2025-03-26 15:00:00.934530,TV,1.72
2025-03-26 15:00:00.934530,Fridge,3.21
2025-03-26 15:00:00.934530,Router,2.3
2025-03-27 15:00:00.934530,AC,3.35
2025-03-27 15:00:00.934530,Fan,1.13
2025-03-27 15:00:00.934530,TV,3.17
2025-03-27 15:00:00.934530,Fridge,2.68
2025-03-27 15:00:00.934530,Router,1.12
2025-03-28 15:00:00.934530,AC,0.6
2025-03-28 15:00:00.934530,Fan,0.56
2025-03-28 15:00:00.934530,TV,3.3
2025-03-28 15:00:00.934530,Fridge,0.83
2025-03-28 15:00:00.934530,Router,2.66
2025-03-29 15:00:00.934530,AC,1.66
2025-03-29 15:00:00.934530,Fan,3.51
2025-03-29 15:00:00.934530,TV,1.65
2025-03-29 15:00:00.934530,Fridge,0.38
2025-03-29 15:00:00.934530,Router,2.87
2025-03-30 15:00:00.934530,AC,2.63
2025-03-30 15:00:00.934530,Fan,2.59
2025-03-30 15:00:00.934530,TV,1.51
2025-03-30 15:00:00.934530,Fridge,1.08
2025-03-30 15:00:00.934530,Router,2.62
2025-03-31 15:00:00.934530,AC,2.74
2025-03-31 15:00:00.934530,Fan,3.58
2025-03-31 15:00:00.934530,TV,1.37
2025-03-31 15:00:00.934530,Fridge,0.45
2025-03-31 15:00:00.934530,Router,3.57
2025-04-01 15:00:00.934530,AC,0.65
2025-04-01 15:00:00.934530,Fan,2.75
2025-04-01 15:00:00.934530,TV,1.77
2025-04-01 15:00:00.934530,Fridge,1.55
2025-04-01 15:00:00.934530,Router,0.56
2025-04-02 15:00:00.934530,AC,2.1
2025-04-02 15:00:00.934530,Fan,2.58
2025-04-02 15:00:00.934530,TV,3.1
2025-04-02 15:00:00.934530,Fridge,1.74
2025-04-02 15:00:00.934530,Router,0.38
2025-04-03 15:00:00.934530,AC,1.67
2025-04-03 15:00:00.934530,Fan,3.53
2025-04-03 15:00:00.934530,TV,2.51
2025-04-03 15:00:00.934530,Fridge,0.85
2025-04-03 15:00:00.934530,Router,1.63
2025-04-04 15:00:00.934530,AC,1.77
2025-04-04 15:00:00.934530,Fan,1.42
2025-04-04 15:00:00.934530,TV,1.61
2025-04-04 15:00:00.934530,Fridge,2.38
2025-04-04 15:00:00.934530,Router,2.75
2025-04-05 15:00:00.934530,AC,0.97
2025-04-05 15:00:00.934530,Fan,2.98
2025-04-05 15:00:00.934530,TV,3.51
2025-04-05 15:00:00.934530,Fridge,1.17
2025-04-05 15:00:00.934530,Router,2.64
2025-04-06 15:00:00.934530,AC,0.38
2025-04-06 15:00:00.934530,Fan,1.57
2025-04-06 15:00:00.934530,TV,1.33
2025-04-06 15:00:00.934530,Fridge,1.6
2025-04-06 15:00:00.934530,Router,0.92
2025-04-07 15:00:00.934530,AC,0.74
2025-04-07 15:00:00.934530,Fan,1.05
2025-04-07 15:00:00.934530,TV,0.41
2025-04-07 15:00:00.934530,Fridge,2.35
2025-04-07 15:00:00.934530,Router,0.71
2025-04-08 15:00:00.934530,AC,2.77
2025-04-08 15:00:00.934530,Fan,2.93
2025-04-08 15:00:00.934530,TV,2.37
2025-04-08 15:00:00.934530,Fridge,0.83
2025-04-08 15:00:00.934530,Router,0.92
2025-04-09 15:00:00.934530,AC,2.76
2025-04-09 15:00:00.934530,Fan,2.36
2025-04-09 15:00:00.934530,TV,0.54
2025-04-09 15:00:00.934530,Fridge,1.73
2025-04-09 15:00:00.934530,Router,3.44
2025-04-10 15:00:00.934530,AC,0.42
2025-04-10 15:00:00.934530,Fan,2.42
2025-04-10 15:00:00.934530,TV,3.38
2025-04-10 15:00:00.934530,Fridge,2.31
2025-04-10 15:00:00.934530,Router,0.85
2025-04-11 15:00:00.934530,AC,1.51
2025-04-11 15:00:00.934530,Fan,1.09
2025-04-11 15:00:00.934530,TV,2.45
2025-04-11 15:00:00.934530,Fridge,1.8
2025-04-11 15:00:00.934530,Router,2.49
2025-04-12 15:00:00.934530,AC,1.2
2025-04-12 15:00:00.934530,Fan,3.54
2025-04-12 15:00:00.934530,TV,0.74
2025-04-12 15:00:00.934530,Fridge,3.39
2025-04-12 15:00:00.934530,Router,0.68
2025-04-13 15:00:00.934530,AC,0.88
2025-04-13 15:00:00.934530,Fan,1.71
2025-04-13 15:00:00.934530,TV,3.1
2025-04-13 15:00:00.934530,Fridge,1.61
2025-04-13 15:00:00.934530,Router,2.87
2025-04-14 15:00:00.934530,AC,1.18
2025-04-14 15:00:00.934530,Fan,0.42
2025-04-14 15:00:00.934530,TV,1.57
2025-04-14 15:00:00.934530,Fridge,1.44
2025-04-14 15:00:00.934530,Router,3.41
2025-04-15 15:00:00.934530,AC,0.42
2025-04-15 15:00:00.934530,Fan,3.17
2025-04-15 15:00:00.934530,TV,3.03
