date,total_kwh
2025-03-21 15:00:00.934530,14.31
2025-03-22 15:00:00.934530,23.09
2025-03-23 15:00:00.934530,23.33
2025-03-24 15:00:00.934530,21.85
2025-03-25 15:00:00.934530,12.68
2025-03-26 15:00:00.934530,21.91
2025-03-27 15:00:00.934530,14.98
2025-03-28 15:00:00.934530,12.31
2025-03-29 15:00:00.934530,19.79
2025-03-30 15:00:00.934530,17.19
2025-03-31 15:00:00.934530,22.37
2025-04-01 15:00:00.934530,23.55
2025-04-02 15:00:00.934530,19.23
2025-04-03 15:00:00.934530,21.78
2025-04-04 15:00:00.934530,23.09
2025-04-05 15:00:00.934530,13.41
2025-04-06 15:00:00.934530,20.69
2025-04-07 15:00:00.934530,18.92
2025-04-08 15:00:00.934530,22.94
2025-04-09 15:00:00.934530,14.58
2025-04-10 15:00:00.934530,23.14
2025-04-11 15:00:00.934530,23.0
2025-04-12 15:00:00.934530,19.44
2025-04-13 15:00:00.934530,14.11
2025-04-14 15:00:00.934530,16.55
2025-04-15 15:00:00.934530,22.18
2025-04-16 15:00:00.934530,21.33
2025-04-17 15:00:00.934530,18.02
2025-04-18 15:00:00.934530,14.52
2025-04-19 15:00:00.934530,22.15
2025-04-20 15:00:00.934530,16.0
2025-04-21 15:00:00.934530,23.26
2025-04-22 15:00:00.934530,15.36
2025-04-23 15:00:00.934530,18.02
2025-04-24 15:00:00.934530,17.17
2025-04-25 15:00:00.934530,15.79
2025-04-26 15:00:00.934530,14.08
2025-04-27 15:00:00.934530,15.52
2025-04-28 15:00:00.934530,22.74
2025-04-29 15:00:00.934530,23.93
2025-04-30 15:00:00.934530,22.14
2025-05-01 15:00:00.934530,14.65
2025-05-02 15:00:00.934530,23.89
2025-05-03 15:00:00.934530,13.83
2025-05-04 15:00:00.934530,20.12
2025-05-05 15:00:00.934530,14.0
2025-05-06 15:00:00.934530,23.22
2025-05-07 15:00:00.934530,18.99
2025-05-08 15:00:00.934530,23.68
2025-05-09 15:00:00.934530,13.81
2025-05-10 15:00:00.934530,23.68
2025-05-11 15:00:00.934530,18.84
2025-05-12 15:00:00.934530,15.92
2025-05-13 15:00:00.934530,13.21
2025-05-14 15:00:00.934530,22.06
2025-05-15 15:00:00.934530,18.66
2025-05-16 15:00:00.934530,20.15
2025-05-17 15:00:00.934530,17.73
2025-05-18 15:00:00.934530,14.69
2025-05-19 15:00:00.934530,16.34
2025-05-20 15:00:00.934530,20.72
