date,total_kwh
2026-02-19 15:00:00.523382,23.58
2026-02-20 15:00:00.523382,28.36
2026-02-21 15:00:00.523382,37.78
2026-02-22 15:00:00.523382,21.92
2026-02-23 15:00:00.523382,32.97
2026-02-24 15:00:00.523382,34.78
2026-02-25 15:00:00.523382,32.02
2026-02-26 15:00:00.523382,31.69
2026-02-27 15:00:00.523382,28.63
2026-02-28 15:00:00.523382,36.22
2026-03-01 15:00:00.523382,38.26
2026-03-02 15:00:00.523382,21.06
2026-03-03 15:00:00.523382,22.85
2026-03-04 15:00:00.523382,29.98
2026-03-05 15:00:00.523382,21.54
2026-03-06 15:00:00.523382,36.25
2026-03-07 15:00:00.523382,33.77
2026-03-08 15:00:00.523382,21.98
2026-03-09 15:00:00.523382,24.87
2026-03-10 15:00:00.523382,30.83
2026-03-11 15:00:00.523382,22.3
2026-03-12 15:00:00.523382,27.77
2026-03-13 15:00:00.523382,33.76
2026-03-14 15:00:00.523382,37.36
2026-03-15 15:00:00.523382,30.84
2026-03-16 15:00:00.523382,29.14
2026-03-17 15:00:00.523382,26.98
2026-03-18 15:00:00.523382,35.74
2026-03-19 15:00:00.523382,25.13
2026-03-20 15:00:00.523382,37.76
