date,total_kwh
2025-03-21 15:00:00.769734,54.45
2025-03-22 15:00:00.769734,53.16
2025-03-23 15:00:00.769734,55.4
2025-03-24 15:00:00.769734,34.39
2025-03-25 15:00:00.769734,32.08
2025-03-26 15:00:00.769734,40.01
2025-03-27 15:00:00.769734,46.28
2025-03-28 15:00:00.769734,58.13
2025-03-29 15:00:00.769734,43.0
2025-03-30 15:00:00.769734,45.1
2025-03-31 15:00:00.769734,55.81
2025-04-01 15:00:00.769734,37.52
2025-04-02 15:00:00.769734,46.49
2025-04-03 15:00:00.769734,53.08
2025-04-04 15:00:00.769734,48.17
2025-04-05 15:00:00.769734,35.13
2025-04-06 15:00:00.769734,48.36
2025-04-07 15:00:00.769734,50.68
2025-04-08 15:00:00.769734,42.6
2025-04-09 15:00:00.769734,44.88
2025-04-10 15:00:00.769734,57.13
2025-04-11 15:00:00.769734,46.62
2025-04-12 15:00:00.769734,49.86
2025-04-13 15:00:00.769734,50.11
2025-04-14 15:00:00.769734,42.94
2025-04-15 15:00:00.769734,48.6
2025-04-16 15:00:00.769734,55.75
2025-04-17 15:00:00.769734,48.2
2025-04-18 15:00:00.769734,31.36
2025-04-19 15:00:00.769734,59.15
2025-04-20 15:00:00.769734,41.25
2025-04-21 15:00:00.769734,51.12
2025-04-22 15:00:00.769734,44.09
2025-04-23 15:00:00.769734,54.49
2025-04-24 15:00:00.769734,50.79
2025-04-25 15:00:00.769734,31.2
2025-04-26 15:00:00.769734,30.49
2025-04-27 15:00:00.769734,31.65
2025-04-28 15:00:00.769734,40.65
2025-04-29 15:00:00.769734,31.53
2025-04-30 15:00:00.769734,36.33
2025-05-01 15:00:00.769734,35.4
2025-05-02 15:00:00.769734,52.85
2025-05-03 15:00:00.769734,31.14
2025-05-04 15:00:00.769734,31.47
2025-05-05 15:00:00.769734,52.14
2025-05-06 15:00:00.769734,51.48
2025-05-07 15:00:00.769734,43.84
2025-05-08 15:00:00.769734,51.14
2025-05-09 15:00:00.769734,40.36
2025-05-10 15:00:00.769734,56.86
2025-05-11 15:00:00.769734,54.11
2025-05-12 15:00:00.769734,48.57
2025-05-13 15:00:00.769734,34.65
2025-05-14 15:00:00.769734,41.2
2025-05-15 15:00:00.769734,52.77
2025-05-16 15:00:00.769734,45.49
2025-05-17 15:00:00.769734,54.0
2025-05-18 15:00:00.769734,55.94
2025-05-19 15:00:00.769734,31.89
2025-05-20 15:00:00.769734,33.6
2025-05-21 15:00:00.769734,50.97
2025-05-22 15:00:00.769734,38.72
2025-05-23 15:00:00.769734,41.05
2025-05-24 15:00:00.769734,39.64
2025-05-25 15:00:00.769734,42.35
2025-05-26 15:00:00.769734,44.1
2025-05-27 15:00:00.769734,36.49
2025-05-28 15:00:00.769734,49.25
2025-05-29 15:00:00.769734,51.47
2025-05-30 15:00:00.769734,31.95
2025-05-31 15:00:00.769734,39.29
2025-06-01 15:00:00.769734,51.42
2025-06-02 15:00:00.769734,46.37
2025-06-03 15:00:00.769734,58.53
2025-06-04 15:00:00.769734,46.07
2025-06-05 15:00:00.769734,42.18
2025-06-06 15:00:00.769734,34.39
2025-06-07 15:00:00.769734,34.67
2025-06-08 15:00:00.769734,59.64
2025-06-09 15:00:00.769734,38.53
