date,total_kwh
2025-12-21 15:00:00.893741,12.35
2025-12-22 15:00:00.893741,18.6
2025-12-23 15:00:00.893741,22.32
2025-12-24 15:00:00.893741,12.21
2025-12-25 15:00:00.893741,22.38
2025-12-26 15:00:00.893741,20.92
2025-12-27 15:00:00.893741,20.76
2025-12-28 15:00:00.893741,12.43
2025-12-29 15:00:00.893741,18.61
2025-12-30 15:00:00.893741,19.17
2025-12-31 15:00:00.893741,19.82
2026-01-01 15:00:00.893741,19.38
2026-01-02 15:00:00.893741,12.34
2026-01-03 15:00:00.893741,15.49
2026-01-04 15:00:00.893741,13.92
2026-01-05 15:00:00.893741,17.21
2026-01-06 15:00:00.893741,12.14
2026-01-07 15:00:00.893741,18.05
2026-01-08 15:00:00.893741,15.0
2026-01-09 15:00:00.893741,16.34
2026-01-10 15:00:00.893741,14.66
2026-01-11 15:00:00.893741,17.16
2026-01-12 15:00:00.893741,16.85
2026-01-13 15:00:00.893741,15.61
2026-01-14 15:00:00.893741,20.89
2026-01-15 15:00:00.893741,14.67
2026-01-16 15:00:00.893741,19.74
2026-01-17 15:00:00.893741,21.25
2026-01-18 15:00:00.893741,20.11
2026-01-19 15:00:00.893741,19.43
2026-01-20 15:00:00.893741,16.23
2026-01-21 15:00:00.893741,12.55
2026-01-22 15:00:00.893741,14.91
2026-01-23 15:00:00.893741,15.64
2026-01-24 15:00:00.893741,22.0
2026-01-25 15:00:00.893741,16.25
2026-01-26 15:00:00.893741,12.31
2026-01-27 15:00:00.893741,15.92
2026-01-28 15:00:00.893741,21.87
2026-01-29 15:00:00.893741,14.79
2026-01-30 15:00:00.893741,17.17
2026-01-31 15:00:00.893741,13.46
2026-02-01 15:00:00.893741,23.14
2026-02-02 15:00:00.893741,14.03
2026-02-03 15:00:00.893741,20.75
2026-02-04 15:00:00.893741,16.98
2026-02-05 15:00:00.893741,17.58
2026-02-06 15:00:00.893741,13.62
2026-02-07 15:00:00.893741,17.71
2026-02-08 15:00:00.893741,15.06
2026-02-09 15:00:00.893741,13.22
2026-02-10 15:00:00.893741,19.09
2026-02-11 15:00:00.893741,21.28
2026-02-12 15:00:00.893741,18.0
2026-02-13 15:00:00.893741,12.84
2026-02-14 15:00:00.893741,17.18
2026-02-15 15:00:00.893741,22.28
2026-02-16 15:00:00.893741,14.27
2026-02-17 15:00:00.893741,16.33
2026-02-18 15:00:00.893741,20.54
2026-02-19 15:00:00.893741,21.01
2026-02-20 15:00:00.893741,13.99
2026-02-21 15:00:00.893741,14.57
2026-02-22 15:00:00.893741,20.59
2026-02-23 15:00:00.893741,16.6
2026-02-24 15:00:00.893741,20.88
2026-02-25 15:00:00.893741,17.07
2026-02-26 15:00:00.893741,22.08
2026-02-27 15:00:00.893741,13.08
2026-02-28 15:00:00.893741,23.33
2026-03-01 15:00:00.893741,12.99
2026-03-02 15:00:00.893741,13.52
2026-03-03 15:00:00.893741,20.72
2026-03-04 15:00:00.893741,17.31
2026-03-05 15:00:00.893741,23.33
2026-03-06 15:00:00.893741,18.62
2026-03-07 15:00:00.893741,19.45
2026-03-08 15:00:00.893741,17.04
2026-03-09 15:00:00.893741,16.34
2026-03-10 15:00:00.893741,18.38
2026-03-11 15:00:00.893741,22.1
2026-03-12 15:00:00.893741,19.27
2026-03-13 15:00:00.893741,14.81
2026-03-14 15:00:00.893741,21.46
2026-03-15 15:00:00.893741,18.92
2026-03-16 15:00:00.893741,17.83
2026-03-17 15:00:00.893741,20.28
2026-03-18 15:00:00.893741,20.64
2026-03-19 15:00:00.893741,20.75
2026-03-20 15:00:00.893741,16.58
