date,appliance,kwh
2025-12-21 15:00:00.893741,AC,2.08
2025-12-21 15:00:00.893741,Fan,2.96
2025-12-21 15:00:00.893741,TV,1.92
2025-12-21 15:00:00.893741,Fridge,1.17
2025-12-21 15:00:00.893741,Router,0.87
2025-12-22 15:00:00.893741,AC,3.25
2025-12-22 15:00:00.893741,Fan,2.45
2025-12-22 15:00:00.893741,TV,0.75
2025-12-22 15:00:00.893741,Fridge,2.0
2025-12-22 15:00:00.893741,Router,1.8
2025-12-23 15:00:00.893741,AC,2.14
2025-12-23 15:00:00.893741,Fan,1.41
2025-12-23 15:00:00.893741,TV,0.83
2025-12-23 15:00:00.893741,Fridge,2.13
2025-12-23 15:00:00.893741,Router,0.55
2025-12-24 15:00:00.893741,AC,1.23
2025-12-24 15:00:00.893741,Fan,2.22
2025-12-24 15:00:00.893741,TV,2.97
2025-12-24 15:00:00.893741,Fridge,0.42
2025-12-24 15:00:00.893741,Router,1.99
2025-12-25 15:00:00.893741,AC,2.23
2025-12-25 15:00:00.893741,Fan,0.94
2025-12-25 15:00:00.893741,TV,1.86
2025-12-25 15:00:00.893741,Fridge,1.64
2025-12-25 15:00:00.893741,Router,1.22
2025-12-26 15:00:00.893741,AC,0.4
2025-12-26 15:00:00.893741,Fan,1.43
2025-12-26 15:00:00.893741,TV,1.71
2025-12-26 15:00:00.893741,Fridge,1.29
2025-12-26 15:00:00.893741,Router,2.77
2025-12-27 15:00:00.893741,AC,3.49
2025-12-27 15:00:00.893741,Fan,3.02
2025-12-27 15:00:00.893741,TV,1.51
2025-12-27 15:00:00.893741,Fridge,2.52
2025-12-27 15:00:00.893741,Router,3.32
2025-12-28 15:00:00.893741,AC,0.93
2025-12-28 15:00:00.893741,Fan,3.58
2025-12-28 15:00:00.893741,TV,2.56
2025-12-28 15:00:00.893741,Fridge,1.72
2025-12-28 15:00:00.893741,Router,1.97
2025-12-29 15:00:00.893741,AC,1.3
2025-12-29 15:00:00.893741,Fan,2.23
2025-12-29 15:00:00.893741,TV,1.35
2025-12-29 15:00:00.893741,Fridge,1.5
2025-12-29 15:00:00.893741,Router,1.89
2025-12-30 15:00:00.893741,AC,0.8
2025-12-30 15:00:00.893741,Fan,2.48
2025-12-30 15:00:00.893741,TV,3.15
2025-12-30 15:00:00.893741,Fridge,2.79
2025-12-30 15:00:00.893741,Router,3.59
2025-12-31 15:00:00.893741,AC,3.27
2025-12-31 15:00:00.893741,Fan,1.82
2025-12-31 15:00:00.893741,TV,2.05
2025-12-31 15:00:00.893741,Fridge,1.6
2025-12-31 15:00:00.893741,Router,3.45
2026-01-01 15:00:00.893741,AC,3.49
2026-01-01 15:00:00.893741,Fan,0.77
2026-01-01 15:00:00.893741,TV,1.3
2026-01-01 15:00:00.893741,Fridge,1.98
2026-01-01 15:00:00.893741,Router,1.17
2026-01-02 15:00:00.893741,AC,3.41
2026-01-02 15:00:00.893741,Fan,1.87
